1,1398444
2,1401874
3,1395106
4,1405142
5,1389974
6,1393018
7,1393614
8,1398304
9,1393956
10,1394324
11,1409396
12,1396588
13,1398216
14,1393240
15,1396104
16,1395648
17,1399842
18,1396262
19,1405520
20,1398644
21,1403428
22,1398520
23,1399352
24,1394028
25,1398566
26,1401980
27,1398366
28,1394746
29,1397600
30,1392900
31,1409194
32,1391860
33,1391406
34,1394108
35,1392718
36,1402360
37,1395608
38,1413312
39,1393294
40,1400008
41,1396038
42,1398272
43,1416668
44,1403674
45,1396920
46,1399120
47,1397032
48,1397736
49,1414482
50,1402028
51,1394616
52,1404128
53,1392586
54,1395620
55,1401962
56,1398128
57,1415092
58,1405848
59,1397832
60,1397546
61,1400168
62,1396860
63,1397074
64,1394820
65,1393602
66,1398974
67,1397756
68,1398840
69,1395958
70,1391552
71,1401320
72,1404632
73,1397334
74,1394410
75,1404896
76,1393306
77,1402388
78,1403520
79,1392670
80,1391404
81,1399046
82,1394476
83,1392916
84,1393086
85,1395652
86,1396864
87,1397838
88,1396424
89,1394384
90,1399434
91,1404166
92,1415228
93,1394774
94,1395838
95,1392690
96,1400768
97,1400596
98,1397464
99,1396526
100,1400786
